,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
0,20151491622,4,BURGLARY OF RESIDENCE         ,Burglary,29-May-15,10000 BLOCK N LAMAR BLVD                                                                            ,N,3-Jun-15,E,78758,18.22,3128495,10107901,0,0
1,20155032112,5,BURGLARY OF VEHICLE           ,Theft,23-Jul-15,10000 BRANTLEY BND                                                                                  ,N,23-Jul-15,F,78748,17.48,3084923,10036665,0,0
2,20155001384,5,BURGLARY OF VEHICLE           ,Theft,11-Jan-15,10000 DAVID MOORE DR                                                                                ,N,13-Jan-15,F,78748,24.21,3092658,10033291,30.166455,-97.814069
3,2015390483,5,BURGLARY OF VEHICLE           ,Theft,8-Feb-15,10000 DAVID MOORE DR                                                                                ,N,12-Feb-15,F,78748,24.21,3092658,10033291,30.166455,-97.814069
4,20155043821,4,THEFT                         ,Theft,5-Oct-15,10000 DESSAU RD                                                                                     ,N,24-Nov-15,E,78753,18.33,3136102,10104145,30.3576995,-97.671359
5,20155019035,4,BURGLARY OF VEHICLE           ,Theft,4-May-15,10000 METRIC BLVD                                                                                   ,N,7-May-15,E,78758,18.2,3121683,10111791,30.3811176,-97.71574428
6,20152050056,4,THEFT                         ,Theft,24-Jul-15,10000 N IH 35 SVRD NB                                                                               ,,,E,78753,18.33,3131955,10105966,0,0
7,2015401216,4,BURGLARY OF RESIDENCE         ,Burglary,10-Feb-15,10000 N LAMAR BLVD                                                                                  ,N,12-Feb-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
8,20155005897,4,BURGLARY OF VEHICLE           ,Theft,10-Feb-15,10000 N LAMAR BLVD                                                                                  ,N,11-Feb-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
9,20155009774,4,THEFT                         ,Theft,9-Mar-15,10000 N LAMAR BLVD                                                                                  ,N,9-Mar-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
10,2015761003,4,ROBBERY BY ASSAULT            ,Robbery,17-Mar-15,10000 N LAMAR BLVD                                                                                  ,N,8-Apr-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
11,2015901318,4,BURGLARY OF RESIDENCE         ,Burglary,31-Mar-15,10000 N LAMAR BLVD                                                                                  ,N,7-Apr-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
12,2015931821,4,BURGLARY OF RESIDENCE         ,Burglary,3-Apr-15,10000 N LAMAR BLVD                                                                                  ,N,8-Apr-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
13,20151170060,4,BURGLARY OF RESIDENCE         ,Burglary,27-Apr-15,10000 N LAMAR BLVD                                                                                  ,N,4-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
14,20151220499,4,AUTO THEFT                    ,Auto Theft,2-May-15,10000 N LAMAR BLVD                                                                                  ,N,4-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
15,20151261350,4,BURGLARY OF VEHICLE           ,Theft,6-May-15,10000 N LAMAR BLVD                                                                                  ,N,7-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
16,20155021507,4,BURGLARY OF VEHICLE           ,Theft,20-May-15,10000 N LAMAR BLVD                                                                                  ,N,20-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
17,20155021526,4,BURGLARY OF VEHICLE           ,Theft,20-May-15,10000 N LAMAR BLVD                                                                                  ,N,20-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
18,20155021518,4,BURGLARY OF VEHICLE           ,Theft,20-May-15,10000 N LAMAR BLVD                                                                                  ,N,20-May-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
19,20151480094,4,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,28-May-15,10000 N LAMAR BLVD                                                                                  ,O,15-Aug-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
20,20155023780,4,BURGLARY OF VEHICLE           ,Theft,3-Jun-15,10000 N LAMAR BLVD                                                                                  ,N,9-Jun-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
21,20151641616,4,AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault,13-Jun-15,10000 N LAMAR BLVD                                                                                  ,C,29-Jun-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
22,20151711063,4,ROBBERY BY ASSAULT            ,Robbery,20-Jun-15,10000 N LAMAR BLVD                                                                                  ,N,10-Jul-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
23,20151800063,4,AGG ROBBERY/DEADLY WEAPON     ,Robbery,29-Jun-15,10000 N LAMAR BLVD                                                                                  ,N,19-Sep-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
24,20151852153,4,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,6-Jul-15,10000 N LAMAR BLVD                                                                                  ,C,20-Aug-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
25,20155029600,4,THEFT OF LICENSE PLATE        ,Theft,8-Jul-15,10000 N LAMAR BLVD                                                                                  ,N,12-Jul-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
26,20152060533,4,AUTO THEFT                    ,Auto Theft,25-Jul-15,10000 N LAMAR BLVD                                                                                  ,N,28-Jul-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
27,20152101646,4,AUTO THEFT                    ,Auto Theft,29-Jul-15,10000 N LAMAR BLVD                                                                                  ,N,30-Jul-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
28,20152130301,4,BURGLARY OF RESIDENCE         ,Burglary,1-Aug-15,10000 N LAMAR BLVD                                                                                  ,N,6-Aug-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
29,20155038871,4,THEFT                         ,Theft,2-Sep-15,10000 N LAMAR BLVD                                                                                  ,N,14-Sep-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
30,20155040650,4,BURGLARY OF VEHICLE           ,Theft,15-Sep-15,10000 N LAMAR BLVD                                                                                  ,N,15-Sep-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
31,20152771402,4,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,4-Oct-15,10000 N LAMAR BLVD                                                                                  ,C,21-Oct-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
32,20153010174,4,AGG ASSAULT                   ,Agg Assault,28-Oct-15,10000 N LAMAR BLVD                                                                                  ,N,28-Oct-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
33,20155048224,4,BURGLARY OF VEHICLE           ,Theft,2-Nov-15,10000 N LAMAR BLVD                                                                                  ,N,2-Nov-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
34,20153190341,4,BURG NON RESIDENCE SHEDS      ,Burglary,15-Nov-15,10000 N LAMAR BLVD                                                                                  ,N,14-Jan-16,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
35,20155051118,4,BURGLARY OF VEHICLE           ,Theft,20-Nov-15,10000 N LAMAR BLVD                                                                                  ,N,20-Nov-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
36,20155052306,4,BURGLARY OF VEHICLE           ,Theft,29-Nov-15,10000 N LAMAR BLVD                                                                                  ,N,30-Nov-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
37,20153510224,4,AGG ASSAULT                   ,Agg Assault,17-Dec-15,10000 N LAMAR BLVD                                                                                  ,N,17-Dec-15,E,78758,18.22,3128495,10107901,30.2746922,-97.7524305
